,p_value
path:mmu05150,0.0517096806556
path:mmu04512,0.440842909681
path:mmu05152,0.108183539865
path:mmu04510,0.520193747604
path:mmu04022,0.322668795019
path:mmu04020,0.176795390635
path:mmu05020,0.324635457371
path:mmu05310,0.330266303407
path:mmu04024,0.319486165061
path:mmu05214,0.336138220828
path:mmu04730,0.124409115035
path:mmu04810,0.197716340679
path:mmu00650,0.487032149188
path:mmu00790,0.158031322246
path:mmu00410,0.426206169715
path:mmu04950,0.512967850804
path:mmu03440,0.423159586549
path:mmu04668,0.231050674815
path:mmu00900,0.191810403115
path:mmu04660,0.369537533913
path:mmu04662,0.276078637136
path:mmu00290,0.567057836441
path:mmu04520,0.552882339643
path:mmu04933,0.22401489724
path:mmu04666,0.399843728604
path:mmu03030,0.140210874451
path:mmu04744,0.281105307138
path:mmu05140,0.432908173753
path:mmu04742,0.157483004023
path:mmu05231,0.507531017435
path:mmu04740,1.34247299507e-13
path:mmu00020,0.0701503566918
path:mmu04320,0.119038085433
path:mmu00860,0.169131779365
path:mmu00140,0.0637194484779
path:mmu05146,0.415604304048
path:mmu05323,0.349130582015
path:mmu03022,0.489114766639
path:mmu04340,0.0573552274226
path:mmu05320,0.0655923438501
path:mmu04130,0.55345143185
path:mmu01100,1.0
path:mmu00350,0.140210874451
path:mmu00620,0.260333015502
path:mmu04750,0.483272968041
path:mmu05410,0.117490276448
path:mmu04940,0.00589311745019
path:mmu05220,0.514450926097
path:mmu00785,0.753064742768
path:mmu00780,0.653483304452
path:mmu03430,0.57118849627
path:mmu04911,0.0599618854283
path:mmu04672,0.586931081791
path:mmu04670,0.335029202851
path:mmu04925,0.0262514051688
path:mmu04922,0.444205722093
path:mmu04923,0.337583722686
path:mmu04920,0.351917315899
path:mmu04921,0.512181580438
path:mmu00030,0.222014187259
path:mmu03020,0.483181796138
path:mmu01040,0.154460469644
path:mmu04664,0.167612624394
path:mmu05133,0.247022439121
path:mmu05132,0.576996112257
path:mmu00130,0.209950128255
path:mmu05330,0.00422309718261
path:mmu00970,0.0167570801765
path:mmu05134,0.152434376325
path:mmu04370,0.506932238191
path:mmu00260,0.272319095493
path:mmu00730,0.346516695538
path:mmu04122,0.713630030823
path:mmu05230,0.436646540424
path:mmu04120,0.00258430782616
path:mmu04976,0.10644175792
path:mmu00340,0.213355957715
path:mmu00980,0.0608401049874
path:mmu00630,0.487032149188
path:mmu00983,0.348364091641
path:mmu00430,0.43766526421
path:mmu01524,1.0
path:mmu05414,0.2548725093
