,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Hk1,0.0006343047167667223,0.9999990375689569,0.9999248970635621,1.0,0.5,0.5,0.002013126497042759,0.021275651351492144,0.0008868857641776266,0.0009412016393909585,-0.0133883810064
Ugt2b5,8.0588701462562e-07,0.017441843052377837,0.015369814660326275,0.015489148421104416,0.015487536647075166,0.012659679112753865,6.723628994014439e-06,7.105841908274118e-05,2.9621043919311572e-06,3.1435136545662176e-06,0.0360305244202
Tpi1,0.4820641641333826,1.0,1.0,1.0,0.5,0.5,0.4882371360722513,1.0,0.2150935702060541,0.22826662584680535,0.000336820792861
Slc2a1,0.029128583846315153,1.0,1.0,1.0,0.5,0.5,0.05165219684077358,0.545884291492489,0.02275544936390039,0.02414906982551529,0.012274157661
Hspa1a,0.2628486582481867,1.0,1.0,1.0,0.5,0.5,0.3102030258081093,1.0,0.13666038770945332,0.14502993073883672,0.00580445035232
Pnliprp2,0.04191165299571081,1.0,1.0,1.0,0.5,0.5,0.07000361114087904,0.7398305204201677,0.030840191241371964,0.03272894856129007,0.0130183256056
Lyz1,0.03972339289803673,1.0,1.0,1.0,0.5,0.5,0.06696028704823104,0.7076672646884045,0.029499450449616854,0.03130609628181035,0.0288225870913
Pcna,0.48604892972544284,1.0,1.0,1.0,0.5,0.5,0.49092808121503073,1.0,0.2162790699462939,0.22952472958922576,0.00324116158474
Hoxb1,0.03804324815106742,1.0,1.0,1.0,0.5,0.5,0.06454866719483111,0.6821801513506957,0.02843700786603831,0.03017858613133441,-0.0133605213044
Rpl32-ps,0.3821606905094389,1.0,1.0,1.0,0.5,0.5,0.41260819114708736,1.0,0.18177513010185187,0.192907652104451,0.0046748346715
Ier2,8.629471497987179e-08,0.001882384973994955,0.0017199262763654133,0.0017214069744184825,0.0017214069744184825,0.001516370731626307,9.953373432256954e-07,1.0519185119612768e-05,4.3849729341797036e-07,4.6535234649547595e-07,0.0834250590005
Nup62,0.0018469271333824216,1.0,0.9999999999917829,1.0,0.5,0.5,0.005013999715581266,0.05299026662352951,0.002208924762488605,0.002344206764524371,0.0185399594028
Ptpra,0.055470862381945,1.0,1.0,1.0,0.5,0.5,0.08840051488210572,0.9342575027882742,0.03894497355734061,0.0413300950796017,-0.00524309839097
Cdx1,0.48405681392494443,1.0,1.0,1.0,0.5,0.5,0.48952770147018365,1.0,0.2156621306421955,0.22887000684152156,0.000150621549685
Prl3d1,9.476603573241398e-05,0.8737157135182142,0.7921410924544658,1.0,0.5,0.49971210654363946,0.000393107059932874,0.004154537115888108,0.00017318387878970026,0.00018379024358801735,0.0297983317672
Mthfd2,0.0018472519554724738,1.0,0.9999999999917829,1.0,0.5,0.5,0.005013999715581266,0.05299026662352951,0.002208924762488605,0.002344206764524371,-0.0266857047288
Lor,5.900254197938021e-08,0.0012874320865583488,0.0011831265900801302,0.0011838270022742844,0.0011837089971903257,0.0010511892879046377,7.252301061112088e-07,7.6645669856781e-06,3.1950116289657035e-07,3.3906849162745396e-07,0.0472336874392
Cd48,1.0145212590368242e-07,0.002212654293306082,0.002016759558166714,0.0020187958533573764,0.0020186944012314727,0.0017720642831596208,1.142210597718879e-06,1.2071409562560715e-05,5.032025162342171e-07,5.340203353748324e-07,-0.0672540821143
Ctsd,0.024204079245395388,1.0,1.0,1.0,0.5,0.5,0.04426340898230566,0.4677961660727366,0.019500308280699742,0.020694572924442354,-0.00758753841731
Gsk3a,0.0007544695827237538,0.9999999303167747,0.9999859142475482,1.0,0.5,0.5,0.002339586143694966,0.02472582779728762,0.0010307080295045286,0.001093832065285911,0.00971582258577
Npr1,0.005729879615874469,1.0,1.0,1.0,0.5,0.5,0.013222562764757482,0.13974215518471067,0.005825218981139609,0.0061819750370486785,0.0152950339595
Sell,3.7092124582061284e-05,0.5550905356370682,0.47161082323610126,0.63791035856229,0.5,0.34532767985899054,0.00017459678107243422,0.0018452194865283787,7.691886219363125e-05,8.162963272261225e-05,-0.0340137258774
Cxcl9,0.0029508453402050617,1.0,1.0,1.0,0.5,0.5,0.007504805726038127,0.07931425587136251,0.003306252921075421,0.003508739000273418,-0.0553425591303
Cyr61,0.0862645134166879,1.0,1.0,1.0,0.5,0.5,0.12750870889070604,1.0,0.056174144491146896,0.05961443854663443,0.0150553322958
Svs4,7.111017297117973e-07,0.015406290617931973,0.013609515040899578,0.013702968535816122,0.0137007970263572,0.011265984703824006,6.044596718097827e-06,6.388209212065797e-05,2.66295574935344e-06,2.8260441402406537e-06,-0.0462604292077
Slc7a2,0.33187972141040045,1.0,1.0,1.0,0.5,0.5,0.3715515951024575,1.0,0.16368758785795268,0.17371236777344493,-0.000392078754809
Hmgn1,0.00020177861061902665,0.9877970643046992,0.9600785808341988,1.0,0.5,0.5,0.0007489384666047224,0.007915127898127693,0.00032994591509896606,0.00035015291567956706,-0.0222225516069
Rps6ka1,0.3802584819495926,1.0,1.0,1.0,0.5,0.5,0.41091708587350373,1.0,0.18103011124930074,0.19211700578479957,0.00323307107365
Rps6ka3,0.04190773920402478,1.0,1.0,1.0,0.5,0.5,0.07000361114087904,0.7398305204201677,0.030840191241371964,0.03272894856129007,-0.0140853842342
Cfl1,0.0009741339580513909,0.9999999994266973,0.9999992887690056,1.0,0.5,0.5,0.002906210211083552,0.03071417285301706,0.0012803350746731102,0.0013587471125658152,-0.0100203387793
Car6,0.0001870020160229465,0.9831496496522748,0.9500813987858857,1.0,0.5,0.5,0.0007021489688105085,0.007420634857852558,0.00030933273477092065,0.00032827731467044755,0.0295379248061
Adrb2,4.510563681968921e-07,0.009800030605441434,0.008728864908980949,0.008767182628642992,0.008767182628642992,0.007317938517626377,4.103726255197195e-06,4.337007593700433e-05,1.8079024845993321e-06,1.9186245298927584e-06,-0.0445308924172
Phka1,0.10488301765134111,1.0,1.0,1.0,0.5,0.5,0.14929215436014512,1.0,0.06577087262023615,0.06979890267123741,-0.00465920869083
