sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
0.19436078057287687,0.16330774542384308,0.17829807094275413,0.1782376188154131,0.12151080183139952,5.6457206285790314e-05,0.0005966658523347788,2.487230316309504e-05,2.6395566890444997e-05
0.9999975449655056,0.9998624284235909,1.0,0.5,0.5,0.0018938861044578848,0.020015463765974042,0.0008343542382880093,0.0008854529056937132
0.0009499151175800247,0.0008772480974359453,0.0008776330853654527,0.0008776330853654527,0.0007835279060488774,5.660795843730786e-07,5.982590707544293e-06,2.493871723955594e-07,2.6466048388929306e-07
0.999999999999461,0.9999999896111544,1.0,0.5,0.5,0.003695812711582298,0.03905905705753951,0.0016281955881977707,0.0017279117770955049
1.0,1.0,1.0,0.5,0.5,0.019262931341610064,0.2035795623543083,0.00848631201680623,0.009006042384734346
0.9999999999999998,0.9999999999008623,1.0,0.5,0.5,0.004559508174657771,0.04818698993868375,0.0020086978626011314,0.002131717294024182
0.9999999883160182,0.999995439151148,1.0,0.5,0.5,0.0025541878025279923,0.02699383732350983,0.0011252510979443417,0.001194165270082715
1.0,1.0,1.0,0.5,0.5,0.016391107490002572,0.17322880044269726,0.007221125902094657,0.0076633720055278584
1.0,1.0,1.0,0.5,0.5,0.42787183325518896,1.0,0.18849954951367878,0.2000438976391085
1.0,1.0,1.0,0.5,0.5,0.06754762201970585,0.7138744921517521,0.029758201713270614,0.031580694345486826
1.0,1.0,1.0,0.5,0.5,0.01949115105723773,0.20599149379943288,0.008586854539689005,0.009112742470797311
6.554660814117597e-09,6.523439566308298e-09,6.522282864551912e-09,6.52168256240147e-09,6.450846908649318e-09,6.124765024649434e-11,6.472934784062245e-10,2.698274011729546e-11,2.8635254121152282e-11
0.953219193080368,0.8980831560376844,1.0,0.5,0.5,0.0005505816327300117,0.005818801190936895,0.00024255952758221044,0.0002574146910813975
1.0,1.0,1.0,0.5,0.5,0.3421489001656027,1.0,0.15073418845346398,0.1599656585041902
0.6003745343088073,0.5130201368952294,0.7195173923569781,0.5,0.3752682833078655,0.00019446363638238272,0.0020551815965328484,8.567123378044056e-05,9.091802906270042e-05
1.0,1.0,1.0,0.5,0.5,0.44122942698374923,1.0,0.19438425657949454,0.20628900401176195
0.06923279270663774,0.0591900380599758,0.06101401287809823,0.0609909673670907,0.046187653537623344,2.1909299056870752e-05,0.00023154759960404865,9.652173107448923e-06,1.0243304740425131e-05
1.0,1.0,1.0,0.5,0.5,0.12847669886706875,1.0,0.05660059386288973,0.06006700511609987
1.0,1.0,1.0,0.5,0.5,0.22103283036333987,1.0,0.09737633027686023,0.10333998514390445
1.0,1.0,1.0,0.5,0.5,0.03207236583602767,0.3389555870171129,0.014129526746210047,0.014994866615863061
1.0,1.0,1.0,0.5,0.5,0.200815947892906,1.0,0.08846975372271974,0.09388793980423073
1.0,1.0,1.0,0.5,0.5,0.3437588183662597,1.0,0.15144344022465203,0.1607183472457917
1.0,1.0,1.0,0.5,0.5,0.2865139098803899,1.0,0.12622411372810619,0.13395450414262197
1.0,1.0,1.0,0.5,0.5,0.08043095056212536,0.8500314632700071,0.03543397057145204,0.037604066430028026
1.0,1.0,1.0,0.5,0.5,0.1874543954000414,1.0,0.08258330261761465,0.08764098258144008
1.0,1.0,1.0,0.5,0.5,0.3011494164896266,1.0,0.13267180714544832,0.14079707604963623
1.0,1.0,1.0,0.5,0.5,0.29531616767845237,1.0,0.13010196101946658,0.138069843880114
1.0,1.0,1.0,0.5,0.5,0.05778470399451864,0.610695461732051,0.025457134181701695,0.02701621493296903
0.990554267518934,0.9666132191472383,1.0,0.5,0.5,0.0007865174292816077,0.008312279745882228,0.00034650138097736487,0.00036772229412153427
0.007216644164146135,0.00646021970916455,0.006481176162303578,0.006480844440727045,0.005474401177525639,3.151788033952811e-06,3.330955279893701e-05,1.3885247365847802e-06,1.473562674241719e-06
1.0,1.0,1.0,0.5,0.5,0.04922988387500495,0.520284168400573,0.021688295914338768,0.023016560299736102
1.0,1.0,1.0,0.5,0.5,0.2678801597765544,1.0,0.11801498840756053,0.1252426243022371
1.0,1.0,1.0,0.5,0.5,0.28935847042477664,1.0,0.1274772889537385,0.13528442804539537
1.0,1.0,1.0,0.5,0.5,0.04689814362418246,0.49564125962578154,0.02066104440418664,0.021926396442704818
